Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ac-B  	L = (Ac) + AcB4  	3.5  	0  	80  	920  	Eutectic  
Ac-B  	L + AcB6 = AcB4  	67  	85.7  	80  	2250  	Peritectic  
Ac-B  	L = AcB6  	 	85.7  	 	2550  	Congruent  
Ac-B  	L = AcB6 + (B) rhom1  	98  	85.7  	100  	2040  	Eutectic  
Ac-Cr  	L = (Ac) + (Cr)  	30  	0  	100  	700  	Eutectic  
Ac-Mo  	L = (Ac) + (Mo)  	1.5  	0  	94  	1000  	Eutectic  
Ac-Mo  	L2 = L1 + (Mo)  	77  	9  	89  	2000  	Monotectic  
Ac-Pt  	L = (Ac) + Ac7Pt3  	17  	0  	30  	860  	Eutectic  
Ac-Pt  	L + Ac3Pt2 = Ac7Pt3  	23.5  	40  	30  	1130  	Peritectic  
Ac-Pt  	L + AcPt = Ac3Pt2  	31.5  	50  	40  	1560  	Peritectic  
Ac-Pt  	L = AcPt  	 	50  	 	1930  	Congruent  
Ac-Pt  	L + AcPt = Ac3Pt4  	58  	50  	57.1  	1780  	Peritectic  
Ac-Pt  	L = Ac3Pt4 + AcPt2  	60  	57.1  	66.7  	1720  	Eutectic  
Ac-Pt  	L = AcPt2  	 	66.7  	 	2100  	Congruent  
Ac-Pt  	L + AcPt2 = AcPt5  	85  	74  	83.3  	1870  	Peritectic  
Ac-Pt  	L = AcPt5 + (Pt)  	92  	83.3  	100  	1700  	Eutectic  
Ag-Al  	L + (Ag) = Ag0.75Al0.25 ht  	21.6  	17.4  	20.5  	778  	Peritectic  
Ag-Al  	(Ag) + Ag0.75Al0.25 ht = Ag0.75Al0.25  	20.3  	23.7  	23.5  	610  	Peritectoid  
Ag-Al  	Ag0.75Al0.25 ht = Ag0.75Al0.25  	 	24.4  	 	603  	Minimum  
Ag-Al  	(Ag) + Ag0.75Al0.25 = Ag0.75Al0.25 rt  	20.4  	23.5  	22.9  	450  	Peritectoid  
Ag-Al  	L + Ag0.75Al0.25 ht = Ag0.75Al0.25  	29.8  	32.7  	32.1  	726  	Peritectic  
Ag-Al  	L = Ag0.75Al0.25 + (Al)  	61  	41.9  	76.5  	726  	Eutectic  
Ag-As  	L + (Ag) = Ag0.9As0.1 ht  	21.5  	7.8  	10  	582  	Peritectic  
Ag-As  	Ag0.9As0.1 ht = (Ag) + (As)  	9.5  	7  	100  	446  	Eutectoid  
